地区,2013,2014,2015,2016,2017
Aruba,2581564246,2649720670,2691620112,2646927374,2700558659
Afghanistan,20561054090,20484873230,19907111419,19362642267,20191764940
Angola,1.37E+11,1.46E+11,1.16E+11,1.01E+11,1.22E+11
Albania,12776277649,13228244336,11386927679,11861353752,13025064967
Andorra,3281585236,3350736367,2811489409,2877311947,3013387424
Arab World,2.87E+12,2.91E+12,2.56E+12,2.51E+12,2.59E+12
United Arab Emirates,3.90E+11,4.03E+11,3.58E+11,3.57E+11,3.78E+11
Argentina,5.52E+11,5.26E+11,5.95E+11,5.58E+11,6.43E+11
Armenia,11121465767,11609512940,10553337673,10546135160,11527458566
American Samoa,641000000,642000000,661000000,652000000,602000000
Antigua and Barbuda,1181448148,1249733333,1336692593,1436585185,1467977778
Australia,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12
Austria,4.30E+11,4.42E+11,3.82E+11,3.95E+11,4.17E+11
Azerbaijan,74164435946,75244294275,53074468085,37867518957,40865558912
Burundi,2451625333,2705783272,3104394858,2959640987,3172292379
Belgium,5.22E+11,5.35E+11,4.62E+11,4.76E+11,5.03E+11
Benin,9159958826,9720362615,8294490789,8578984066,9269594835
Burkina Faso,11947176342,12377391463,10419303761,10867024152,12330338343
Bangladesh,1.50E+11,1.73E+11,1.95E+11,2.21E+11,2.50E+11
Bulgaria,55555171010,56814543481,50201314895,53240950226,58220973783
Bahrain,32539547872,33387686170,31125877660,32250132979,35432686170
"Bahamas, The",10562700000,10913300000,11752300000,11938400000,12150400000
Bosnia and Herzegovina,18178503835,18558343508,16211540686,16913330694,18080118128
Belarus,75527984234,78813839984,56454734397,47722657821,54726595249
Belize,1579413515,1662802599,1723785357,1775100179,1836593466
Bermuda,5573710000,,,,
Bolivia,30659338784,32996188133,33000198263,33941126194,37508642258
Brazil,2.47E+12,2.46E+12,1.80E+12,1.80E+12,2.05E+12
Barbados,4677248300,4696344350,4725500000,4840500000,4989500000
Brunei Darussalam,18093829923,17098342541,12930394938,11400854268,12128104859
Bhutan,1798333726,1976938530,2059809920,2219675781,2528007911
Botswana,14901750765,16250750259,14420604206,15646316818,17405538618
Central African Republic,1691063477,1892292912,1695143880,1823779165,2067230996
Canada,1.84E+12,1.80E+12,1.55E+12,1.53E+12,1.65E+12
Central Europe and the Baltics,1.42E+12,1.47E+12,1.29E+12,1.32E+12,1.46E+12
Switzerland,6.89E+11,7.09E+11,6.80E+11,6.71E+11,6.80E+11
Channel Islands,,,,,
Chile,2.78E+11,2.61E+11,2.44E+11,2.50E+11,2.78E+11
China,9.57E+12,1.04E+13,1.10E+13,1.11E+13,1.21E+13
Cote d'Ivoire,31264187110,35316491207,33131114322,35296977344,38053606751
Cameroon,32348149947,34942948737,30916218544,32621535419,34922782311
"Congo, Dem. Rep.",32679745298,35909040266,37917704900,37134799975,38019265626
"Congo, Rep.",14085851348,14177437982,8553154580,9035848071,8701334800
Colombia,3.82E+11,3.81E+11,2.93E+11,2.83E+11,3.12E+11
Comoros,1115906342,1148058015,965640593,1012147324,1074778461
Cabo Verde,1850470042,1859898513,1596800287,1663008687,1769787215
Costa Rica,49745088112,50577769838,54775994479,57157992434,58174549218
Caribbean small states,72051031654,72989135760,71648867904,68106378710,69602182809
Cuba,77148000000,80656000000,87133000000,91370000000,96851000000
Curacao,3147616201,3158406034,3151910782,3122287933,3116610112
Cayman Islands,4405954638,4563017881,4708336733,4898908676,5141833913
Cyprus,23900872626,23128114787,19779150116,20890936462,22638608224
Czech Republic,2.09E+11,2.08E+11,1.87E+11,1.95E+11,2.16E+11
Germany,3.73E+12,3.88E+12,3.36E+12,3.47E+12,3.66E+12
Djibouti,2042817163,2216200810,2445484583,2618587757,2766868072
Dominica,498296296.3,520207407.4,540737037,576229629.6,519837037
Denmark,3.44E+11,3.53E+11,3.03E+11,3.13E+11,3.29E+11
Dominican Republic,62682158701,67179956264,71164826721,75704647977,79998045976
Algeria,2.10E+11,2.14E+11,1.66E+11,1.60E+11,1.67E+11
East Asia & Pacific (excluding high income),1.18E+13,1.27E+13,1.32E+13,1.35E+13,1.47E+13
Early-demographic dividend,1.02E+13,1.06E+13,1.03E+13,1.05E+13,1.14E+13
East Asia & Pacific,2.12E+13,2.19E+13,2.18E+13,2.25E+13,2.39E+13
Europe & Central Asia (excluding high income),4.33E+12,4.04E+12,3.09E+12,2.96E+12,3.32E+12
Europe & Central Asia,2.34E+13,2.37E+13,2.04E+13,2.04E+13,2.16E+13
Ecuador,95129659000,1.02E+11,99290381000,99937696000,1.04E+11
"Egypt, Arab Rep.",2.89E+11,3.06E+11,3.33E+11,3.33E+11,2.35E+11
Euro area,1.32E+13,1.35E+13,1.17E+13,1.20E+13,1.26E+13
Eritrea,,,,,
Spain,1.35E+12,1.37E+12,1.20E+12,1.23E+12,1.31E+12
Estonia,25271407239,26773472962,23048864243,23996451498,26792757827
Ethiopia,47648211133,55612228234,64589334979,74296618481,81760441159
European Union,1.81E+13,1.87E+13,1.65E+13,1.66E+13,1.74E+13
Fragile and conflict affected situations,8.57E+11,8.61E+11,7.75E+11,7.59E+11,8.44E+11
Finland,2.71E+11,2.74E+11,2.35E+11,2.41E+11,2.54E+11
Fiji,4190143206,4856963230,4682546863,4930204220,5353404419
France,2.81E+12,2.85E+12,2.44E+12,2.47E+12,2.59E+12
Faroe Islands,2627049837,2850743875,2518096286,2689157271,
"Micronesia, Fed. Sts.",317214350.1,319271156.4,316489947.5,332265162.5,366666808.6
Gabon,17590745162,18179752010,14377324798,14014369642,14892609693
United Kingdom,2.79E+12,3.06E+12,2.93E+12,2.69E+12,2.67E+12
Georgia,17189491403,17627060089,14953950557,15141758567,16242956764
Ghana,63277216929,53601126664,49181854798,55009730600,58996776238
Gibraltar,,,,,
Guinea,8376613843,8778473615,8794202444,8603833218,10324668267
"Gambia, The",1375608956,1229460602,1378176868,1467255923,1504954958
Guinea-Bissau,1045790133,1053512334,1047808175,1178204501,1346841897
Equatorial Guinea,21942597765,21736500713,13180195435,11233177619,12289913729
Greece,2.40E+11,2.37E+11,1.97E+11,1.95E+11,2.03E+11
Grenada,842620111.1,911497407.4,997007925.9,1061631222,1126882296
Greenland,2684952727,2842048998,2499115623,2707146783,
Guatemala,53851153447,58722323918,63767597194,68663649522,75620081928
Guam,5336000000,5538000000,5710000000,5795000000,5851000000
Guyana,2987684170,3077643314,3197220339,3504024213,3555205811
High income,4.96E+13,5.07E+13,4.79E+13,4.89E+13,5.10E+13
"Hong Kong SAR, China",2.76E+11,2.91E+11,3.09E+11,3.21E+11,3.42E+11
Honduras,18499710128,19756494435,20979767785,21717622071,23100748922
Heavily indebted poor countries (HIPC),6.39E+11,6.76E+11,6.63E+11,6.80E+11,7.55E+11
Croatia,58056951042,57642879510,49530656285,51596929180,55319620158
Haiti,8485077205,8775444942,8724656126,7970649131,8409497402
Hungary,1.35E+11,1.41E+11,1.25E+11,1.28E+11,1.42E+11
IBRD only,2.65E+13,2.74E+13,2.59E+13,2.60E+13,2.87E+13
IDA & IBRD total,2.85E+13,2.95E+13,2.80E+13,2.81E+13,3.08E+13
IDA total,2.00E+12,2.15E+12,2.11E+12,2.07E+12,2.17E+12
IDA blend,9.94E+11,1.08E+12,1.02E+12,9.50E+11,9.42E+11
Indonesia,9.13E+11,8.91E+11,8.61E+11,9.32E+11,1.02E+12
IDA only,9.93E+11,1.06E+12,1.08E+12,1.11E+12,1.23E+12
Isle of Man,6754330155,7428280402,6792417112,6592627599,6770532819
India,1.86E+12,2.04E+12,2.10E+12,2.29E+12,2.65E+12
Not classified,,,,,
Ireland,2.39E+11,2.58E+11,2.92E+11,3.01E+11,3.35E+11
